controller, step, diversity
Adaptive Hill Climbing, 8, 2.31e-01
Adaptive Hill Climbing, 7, 2.27e-01
Adaptive Hill Climbing, 6, 2.67e-01
Adaptive Hill Climbing, 5, 2.76e-01
Adaptive Hill Climbing, 4, 4.55e-01
Adaptive Hill Climbing, 3, 5.62e-01
Adaptive Hill Climbing, 2, 6.30e-01
Hill Climbing, 18, 2.33e-01
Hill Climbing, 17, 2.27e-01
Hill Climbing, 16, 2.44e-01
Hill Climbing, 15, 2.68e-01
Hill Climbing, 14, 2.93e-01
Hill Climbing, 13, 3.18e-01
Hill Climbing, 12, 3.44e-01
Hill Climbing, 11, 3.69e-01
Hill Climbing, 10, 3.95e-01
Hill Climbing, 9, 4.20e-01
Hill Climbing, 8, 4.45e-01
Hill Climbing, 7, 4.70e-01
Hill Climbing, 6, 4.95e-01
Hill Climbing, 5, 5.28e-01
Hill Climbing, 4, 5.62e-01
Hill Climbing, 3, 5.96e-01
Hill Climbing, 2, 6.30e-01
